"AlertNumber","RuleId","RuleName","Severity","Description","Message","Path","StartLine","EndLine","StartColumn","EndColumn","HtmlUrl","CreatedAt","CommitSha"
"1937","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable approval may be null at this access because of this assignment.","src/Indice.Features.Cases.Workflows/Activities/AwaitApprovalActivity.cs","69","69","23","31","https://github.com/indice-co/Indice.Platform/security/code-scanning/1937","21/2/2025 2:46:31 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1929","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable id may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/MessageTypeService.cs","57","57","78","80","https://github.com/indice-co/Indice.Platform/security/code-scanning/1929","11/2/2025 2:06:31 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1853","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable files may be null at this access as suggested by this null check.","src/Indice.Features.Media.AspNetCore/MediaManager.cs","67","67","26","31","https://github.com/indice-co/Indice.Platform/security/code-scanning/1853","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1852","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.","src/Indice.Features.Identity.UI/Pages/Register.cs","187","187","71","78","https://github.com/indice-co/Indice.Platform/security/code-scanning/1852","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1851","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.
Variable context may be null at this access as suggested by this null check.","src/Indice.Features.Identity.UI/Pages/Login.cs","250","250","71","78","https://github.com/indice-co/Indice.Platform/security/code-scanning/1851","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1850","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable header may be null at this access as suggested by this null check.","src/Indice.Features.Identity.Core/DeviceAuthentication/Validation/BearerTokenUsageValidator.cs","59","59","13","19","https://github.com/indice-co/Indice.Platform/security/code-scanning/1850","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1849","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.CompletedTo may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Core/Services/MyCaseService.cs","174","174","134","160","https://github.com/indice-co/Indice.Platform/security/code-scanning/1849","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1848","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.CreatedTo may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Core/Services/MyCaseService.cs","166","166","77","101","https://github.com/indice-co/Indice.Platform/security/code-scanning/1848","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1847","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.To may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Core/Services/AdminCaseService.cs","340","340","57","74","https://github.com/indice-co/Indice.Platform/security/code-scanning/1847","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1846","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable options.Filter.From may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Core/Services/AdminCaseService.cs","336","336","57","76","https://github.com/indice-co/Indice.Platform/security/code-scanning/1846","5/2/2025 2:38:40 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1583","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable filter.ActiveTo may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/MessageService.cs","244","244","101","116","https://github.com/indice-co/Indice.Platform/security/code-scanning/1583","13/12/2024 10:51:02 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1582","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable filter.ActiveFrom may be null at this access because it has a nullable type.","src/Indice.Features.Messages.Core/Services/MessageService.cs","241","241","103","120","https://github.com/indice-co/Indice.Platform/security/code-scanning/1582","13/12/2024 10:51:02 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1579","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable message.ReplyToCommentId may be null at this access because it has a nullable type.","src/Indice.Features.Cases.Core/Services/CaseMessageService/BaseCaseMessageService.cs","49","49","109","133","https://github.com/indice-co/Indice.Platform/security/code-scanning/1579","13/12/2024 10:51:02 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1578","cs/dereferenced-value-may-be-null","cs/dereferenced-value-may-be-null","warning","Dereferenced variable may be null","Variable dataStream may be null at this access as suggested by this null check.","src/Indice.Features.Cases.Core/Data/Models/DbAttachment.cs","35","35","30","40","https://github.com/indice-co/Indice.Platform/security/code-scanning/1578","13/12/2024 10:51:02 πμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1330","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to payloadBytes is useless, since its value is never read.","src/Indice.Services/EventDispatcherAzure.cs","76","76","13","47","https://github.com/indice-co/Indice.Platform/security/code-scanning/1330","28/11/2024 4:04:47 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
"1329","cs/useless-assignment-to-local","cs/useless-assignment-to-local","warning","Useless assignment to local variable","This assignment to rows is useless, since its value is never read.","src/Indice.Features.Media.AspNetCore/Stores/MediaFolderStore.cs","64","65","9","149","https://github.com/indice-co/Indice.Platform/security/code-scanning/1329","28/11/2024 4:04:47 μμ","925ad24e1d453f5cf6516e992e669c445b3ca9f6"
